Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
133,1175 Stanley Way,3888000,"Move right into this high-quality 5-bedroom, 3-bath split-level home in North Palo Alto's desirable Green Gables neighborhood. The main level includes a culinary kitchen with quartz countertops, a sunny breakfast nook and a spacious family room along with three bedrooms and two full bathrooms. Upstairs has a spacious master suite and an additional bedroom. The verdant backyard has mature foliage, fruit trees, a level lawn, and a stone-paved patio. Ideal location with outstanding Palo Alto schools: minutes to Rinconada and Eleanor Pardee Park, Edgewood Plaza and close to Duveneck Elementary.",SingleFamily,1950,Central Forced Air,None,"Garage, Garage - Attached, Covered",8080,"Ground Floor Bedroom, More than One Bedroom on Ground Floor",3,3,2723,2,2,Palo Alto,Duveneck Elementary School,8,0.3,Frank S. Greene Jr. Middle,7,0.5,Palo Alto High School,9,1.4,"Tile, Hardwood, Carpet",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",2436650,29639,2019/10/17,4295000,2006/3/27,1950000,Palo Alto,94303,CA
134,708 Riverside Ave,1325000,"Kahale Court is a 4-plex on a 7400 SF parcel 3 blocks from downtown Santa Cruz.  The building offers (2) 1BR/1BA units and (2) 2BR/1BA units, each unit individually metered for gas and electric completed in 2019.  This project alone will save a buyer $12,000 per year.  Additional recent improvements include new siding, exterior paint, exterior doors and trim, new gutter and low-maintenance landscaping. Smart laundry machines allow the tenants the freedom of paying from an application on their phone or using coins. The spacious unit interiors feature a combination of wood grain vinyl laminate flooring, tile, or carpeting, custom two-toned interior paint, window blinds and large windows for natural lighting.",MultiFamily,1925,Wall Furnace,None,Off-street,,,0,,2980,0,0,Santa Cruz,Gault Elementary School,3,0.9,Mission Hill Middle School,6,1,Harbor High School,7,1.9,,Gas,None,Refrigerator,,Off-street,,,2019/10/15,1395000,,,Santa Cruz,95060,CA
135,631 Ofarrell St APT 816,560000,"Sophisticated rare corner view home at full-service Hamilton bldg. Glamorous bright condo w/ alcove bed area, living-dining. Entertain in high style w/ gorgeous renovated kitchen: quartz counters, Bosch & Fisher Paykel stainless steel appliances, high quality cabinetry. Gaze at panoramic views to SF Bay, southern vistas, Sutro Tower, lovely city lights at night & amazing sunsets. Beautiful dark wood floors throughout, classic Art Deco archways, newer lighting. Bathroom has Italian marble tile, stylish flooring & is connected by a spacious walk-in closet customized by CA Closets. This unit has 2 sides of large windows that draw light throughout the day. The Hamilton's captivating lobby, award-winning chandeliers, grand piano, fireplace are treasured by residents. Amenities: 24-hr concierge, newly renovated fitness ctr, roof patio, community lounge w/ fountain patio, onsite mgr. Discover this fabulous condo in a distinctive building walkable to Union Square, Civic Center, downtown.",Condo,1930,Steam,,None,,0,1,1,,0,0,San Francisco,,,,Francisco Middle School,6,1.2,,,,"Tile, Wood",Steam,,"Dishwasher, Range Hood",,None,524976,7096,2019/10/2,585000,2015/12/18,485000,San Francisco,94109,CA
136,1184 Quail Ridge Ct,1736000,"Large Park Like Backyard Home Nestled in Quiet Cul-De-Sac! Highly Sought After Glen Crest Neighborhood in Almaden Valley! Walking Distance to Williams Elementary School, A National Blue Ribbon School of Excellence; Top Rated Bret Harte Middle & Leland High School; Desirable Floor Plan with One Large Bedroom & One Full Bathroom Downstairs; High Vaulted Ceiling & Large Windows in Living Room; New Laminated Wood Floor, New Carpet & New Interior Paint; Kitchen Features New Quartz Counter Top, New Stainless Steel Stove, Exhaust Fan, Dishwasher & Wash Sink; Garden Window, Bay Window & Coffer Ceilings; New Lighting Fixture & Recessed Lighting; Dual Zone A/C & Furnace Heater; Backyard Features New Sod, Several Fruit Trees, a Large Deck with Pergola & Awing for Relaxing Afternoon; Three Cars Garage; Must See to Appreciate; Open House Sat & Sun 12/7 & 12/8 from 1pm to 4pm;",SingleFamily,1985,Zoned,Zoned,"Garage Door Opener, Attached",12196.800000000001,4,3,,2585,3,3,San Jose,Williams Elementary School,9,0.1,Bret Harte Middle School,7,0.5,Leland High School,8,0.7,"Carpet, Laminate, Tile, Wood",Zoned,Zoned,"Dishwasher, Gas Range",Laundry Room,"Garage Door Opener, Attached",1632000,20230,2019/12/6,1650000,,,San Jose,95120,CA
137,786 Bond Way,2110000,"Stunning ranch-style home nestled in highly sought-out Cuesta Park neighborhood close to parks, schools, shopping and transit*Exceptional curb appeal with matured professional landscaping with automatic sprinklers, ideal patterned paver driveway, and raised front porch deck for private relaxation*This updated/remodeled home features: bamboo wood floors, dual pane windows, plantation shutters, quaint fireplace, six panel doors, polished nickel-lever hardware, recessed lighting and gorgeous bathrooms*Family/bonus room off the kitchen*The third bedroom makes for a fabulous office, guest bedroom, or playroom*Kitchen has granite countertops and modern touches with cozy dining area opening into the living room creating a lovely flow*The backyard is excellent for family gatherings/entertaining: matured landscaping, pergola/trellis, bbq area, stylish shed, and the continued patterned pavers from the driveway along the side of the house, creating a natural and stylish transition between yards.",SingleFamily,1952,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",5597,3,2,2,1313,1,1,Mountain View,Benjamin Bubb Elementary School,7,0.5,Isaac Newton Graham Middle School,6,0.6,Mountain View High School,8,1.5,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer, Gas Hookup","Garage, Garage - Attached, Covered",153254,1871,2019/11/6,1988800,,,Mountain View,94040,CA
138,12561 Walsh Ave,2170000,"Stunning 2019 new construction in the heart of Del Rey, designed and built by Arzuman Brothers. This 4 bedroom and 5 bathroom uniquely designed California contemporary home features the perfect blend of inside/outside flow and open space design. As you walk through you are greeted by towering windows throughout the home that provide excellent natural light. The gourmet kitchen includes a spacious large island, custom made cabinetry, state of the art appliances, and an attached breakfast table. A few of the many features of the tree lined backyard include ceramic tiles, outdoor fire pit, BBQ, and a hanging succulent plant wall. Once you retreat to the master suite, you are invited once again with open space and a perfect harmony of bedroom, bathroom, and walk-in closet. Full smart home that controls music, lights, air conditioning, cameras, security system, and much more. Close proximity to the beach, local eateries, bike paths, Venice, Marina Del Rey, and all that Silicon Beach has to offer!",SingleFamily,2019,Central,Central Air,"Garage, Other",5288,4,5,4,2542,2,2,Los Angeles,Short Avenue Elementary School,6,0.4,Marina Del Rey Middle School,2,0.3,Venice Senior High School,6,1.2,Wood,Central,Central Air,"Freezer, Refrigerator, Barbecue, Counter Top, Disposal, Range Hood, Oven, Microwave, Dishwasher, Range",See Remarks,"Garage, Other",1593240,19345,2019/11/6,2279000,2018/12/17,1000000,Los Angeles,90066,CA
139,12233 Dorothy St,2950172,"Walk through a white picket fence to the front gassy yard with mature landscaping to this picturesque Traditional home.  Step inside to find hardwood floors throughout, elegant crown molding and a remodeled eat-in kitchen. First level features a formal living room, large family room with beautiful built-ins and formal dining room off the kitchen. French doors lead from both the family room and the dining room to the grassy, private backyard with patio and outdoor fireplace, creating wonderful flow for entertaining. Front facing bedroom and separate bath completes the first floor. Ideal upstairs floor plan with three additional bedrooms including large master suite with high ceilings and en-suite bath. Ample-sized laundry room with great natural light could also be used for additional storage or home work area. Two-car garage with rear alley access.  L ive the Brentwood lifestyle in this charming Traditional close to San Vicente shops and restaurants and the farmer's market.",SingleFamily,1940,Central,Central Air,"Detached Carport, Garage",,4,4,4,2889,2,2,Los Angeles,Kenter Canyon Elementary School,9,1.8,Paul Revere Middle School,7,1.5,University Senior High School Charter,6,0.8,Tile,Central,Central Air,"Dishwasher, Disposal, Refrigerator, Gas Cooktop, Double Oven, Microwave, Range Hood, Washer, Dryer",Inside,"Detached Carport, Garage",1880523,22881,2019/10/18,2850000,2001/3/20,1159000,Los Angeles,90049,CA
140,4235 Strawberry Park Dr,1525000,"Wonderful turn-key home in the desirable Strawberry Park neighborhood! Well maintained for over 50 years by the previous owner, with many improvements and upgrades. Freshly painted inside and out. Solid oak hardwood floors. Dual-pane windows, and central heat and air conditioning. Wood burning fireplace. This comfortable home is totally move-in ready, and with the large lot it has plenty of room for future expansion to the front or side, like many of the neighbors, to accommodate your growing family! Excellent location just a short distance from Westgate shopping center, Santana Row and Valley Fair. Short commute to the Apple spaceship campus and new Cupertino Main Street, and easy access to 280 and 880. FANTASTIC distinguished schools: Morelands Easterbrook K-8 elementary/middle school, rated 10/10 for test scoring, and coveted Prospect High in Saratoga. Also, less than a mile to Archbishop Mitty High or Harker.",SingleFamily,1955,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",7034,Master Suite / Retreat,2,2,1226,2,2,San Jose,,,,,,,Prospect High School,7,1.9,"Tile, Wood, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","In Garage, Washer / Dryer, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1525000,20446,2019/11/27,1198888,,,San Jose,95129,CA
141,1747 Fanwood Ct,1175000,"A must see home located within a desirable neighborhood in North San Jose. This home features 4 bedrooms, 2.5 bathrooms, spacious lot, two car garage, and various unimaginable details throughout. This property displays beautiful solid hardwood flooring, venetian plaster along staircase to match beautifully with the crystal chandeliers above the living room and dining room. Kitchen has beautiful tile backsplash with high end KitchenAid Refrigerator and Viking appliances. Each bedroom has intricate high end finishes that are to die for. Backyard offers a peaceful and private area perfect for entertaining guests.",SingleFamily,1978,Central Forced Air,Ceiling Fan,"Garage, Garage - Attached, Covered",6198,4,3,2,2079,2,2,San Jose,Vinci Park Elementary School,8,0.4,Piedmont Middle School,5,2,Independence High School,6,0.8,Hardwood,Forced air,,,Electricity Hookup (220V),"Garage, Garage - Attached, Covered",339159,5579,2019/11/22,1150000,,,San Jose,95133,CA
142,4424 W 61st St,800000,"Great opportunity to own this large charming traditional style 3 bedrooms, 2 bathrooms, dining room, spacious living room with fire place, den and enjoy a stylish kitchen. Master bedroom is spacious with plenty of closet and storage space. Inside laundry room and attached single car garage. Large backyard with a wonderful covered patio for entertainment. SELLER IS VERY MOTIVATED. This home is blank canvas bring your paint and brush and a vivid imagination, a little love to bring this VIEW HEIGHTS home back to life. Centrally located near parks, shopping, schools and restaurants. DO NOT WAIT!!.  MAKE YOUR OFFER TODAY!!!. Seller will leaseback for one month after CLOSE OF ESCROW.",SingleFamily,1939,Wall Furnace,None,Garage - Attached,,3,2,1,1666,0,0,Los Angeles,Fifty-Fourth Street Elementary School,2,0.8,Audubon Middle School,2,2.2,,,,,Wall Furnace,None,Disposal,,Garage - Attached,153420,2226,2019/10/14,889000,,,Los Angeles,90043,CA
143,380 Caribe Way,555000,"Why rent when you can afford your own cozy home! Excellent corner lot at desirable Villa Antigua community. Farther away from highway 680 than other units. Recent remodeling in 2018, including: granite counter top, new cabinets, new microwave, new dishwasher in the kitchen. Updated bathroom, recess lights, laminate floor, new fireplace, double pane window. New window blinds. Newer interior paint. Inside laundry hookup. Fenced back yard for nice leisure BBQ. Community fenced pool to enjoy in hot summer.  Detached 1 car garage + 1 assigned parking. Great community with great neighbors. Easy access to highway 680, 101. 10 minutes drive to future Google downtown campus, future Berryessa Bart Station. Walking distance to grocery stores, restaurants, fitness, park and light rail. Great for first time home buyer and investor!",Townhouse,1985,Wall Furnace,None,"Garage, Garage - Attached",766,More than One Master Bedroom,3,2,1067,0,0,San Jose,Ben Painter Elementary School,5,0.5,,,,Independence High School,6,0.7,Laminate,Other,None,Range / Oven,Inside,"Garage, Garage - Attached",378209,5690,2019/10/3,569000,2002/3/7,280000,San Jose,95133,CA
144,1344 Turrett Dr,950000,"Beautifully updated single story home has been freshly painted inside and outside, there is new wood laminate flooring throughout the home, very light and spacious feeling with 4 skylights,  baths are updated with New vanities, New tile surrounds for tub and showers, New hardware and faucets plus New tile flooring and New lighting.  Cooks will love the updated kitchen with a gas range and granite counters.  The gorgeous pool is energy efficient with solar heating and the backyard landscape will be easy maintenance.  You'll have close access to schools, shopping and freeways.  This amazing home is a ""Must See"".  With nothing left to do, just unpack your bags and you're done.",SingleFamily,1970,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",6059,Master Bedroom on Ground Floor,3,3,1350,2,2,San Jose,Vinci Park Elementary School,8,0.4,Piedmont Middle School,5,1.7,Independence High School,6,1.3,"Tile, Laminate",Forced air,Central,"Dishwasher, Garbage disposal, Range / Oven","Gas Hookup, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",413454,6510,2019/11/6,995000,2012/1/31,360000,San Jose,95131,CA
